date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,home_npxg,away_npxg,home_ppda,away_ppda
2022-10-29,Eintracht Frankfurt,Borussia Dortmund,1.71,0.731,1,2,1.71027,0.730506,11.12,14.11111111111111
2022-10-30,Union Berlin,Borussia M.Gladbach,1.287,1.012,2,1,1.28667,1.01241,12.173913043478262,37.5
2022-10-30,Schalke 04,Freiburg,0.841,2.253,0,2,0.841369,1.49554,8.208333333333334,12.642857142857142
2022-10-30,FC Cologne,Hoffenheim,0.98,0.779,1,1,0.979672,0.778986,19.523809523809526,8.0
2022-11-04,Borussia M.Gladbach,VfB Stuttgart,1.335,1.462,3,1,1.33462,1.46207,11.782608695652174,10.857142857142858
2022-11-05,Mainz 05,Wolfsburg,1.245,0.809,0,3,1.24483,0.809102,6.466666666666667,13.444444444444445
2022-11-05,Hoffenheim,RasenBallsport Leipzig,1.161,1.663,1,3,1.16126,1.66347,18.043478260869566,20.09090909090909
2022-11-05,Augsburg,Eintracht Frankfurt,1.074,1.316,1,2,1.07354,1.31556,8.862068965517242,7.571428571428571
2022-11-05,Hertha Berlin,Bayern Munich,1.093,2.233,2,3,0.334771,2.23326,11.428571428571429,3.586206896551724
2022-11-05,Borussia Dortmund,Bochum,1.432,0.496,3,0,0.673959,0.496214,12.142857142857142,11.482758620689655
2022-11-05,Werder Bremen,Schalke 04,1.331,1.351,2,1,1.33073,1.35128,9.62962962962963,6.875
2022-11-06,Bayer Leverkusen,Union Berlin,1.781,0.232,5,0,1.7807,0.231839,15.941176470588236,24.352941176470587
2022-11-06,Freiburg,FC Cologne,1.463,0.995,2,0,1.46258,0.995484,11.7,21.5
2022-11-08,Wolfsburg,Borussia Dortmund,2.91,1.297,2,0,2.9101,1.29685,18.6,12.25
2022-11-08,Bayern Munich,Werder Bremen,5.727,1.44,6,1,4.9695,1.44045,12.65,21.857142857142858
2022-11-08,Bochum,Borussia M.Gladbach,1.686,0.767,2,1,1.68574,0.766603,9.666666666666666,13.266666666666667
2022-11-08,VfB Stuttgart,Hertha Berlin,2.002,1.052,2,1,2.00216,1.05233,11.45,18.833333333333332
2022-11-09,FC Cologne,Bayer Leverkusen,1.381,1.045,1,2,1.38128,1.04474,11.8,22.0
2022-11-09,RasenBallsport Leipzig,Freiburg,3.289,0.148,3,1,2.53095,0.148116,14.9375,14.652173913043478
2022-11-09,Union Berlin,Augsburg,1.84,0.294,2,2,1.84012,0.29444,11.615384615384615,16.384615384615383
2022-11-09,Eintracht Frankfurt,Hoffenheim,3.782,1.528,4,2,3.78193,1.52829,15.105263157894736,9.612903225806452
2022-11-09,Schalke 04,Mainz 05,1.98,0.609,1,0,1.97962,0.60888,6.137931034482759,5.2
2022-11-11,Borussia M.Gladbach,Borussia Dortmund,2.64,3.682,4,2,2.64014,3.6823,25.46153846153846,10.608695652173912
2022-11-12,Bayer Leverkusen,VfB Stuttgart,1.883,0.277,2,0,1.88305,0.277105,14.0,10.23076923076923
2022-11-12,Hoffenheim,Wolfsburg,1.424,0.949,1,2,1.42352,0.94899,6.458333333333333,24.8
2022-11-12,Augsburg,Bochum,2.346,1.135,0,1,1.58805,1.13531,8.235294117647058,11.444444444444445
2022-11-12,Hertha Berlin,FC Cologne,2.134,1.937,2,0,2.13441,1.93705,9.652173913043478,9.65
2022-11-12,Werder Bremen,RasenBallsport Leipzig,1.035,2.132,1,2,1.03468,2.1323,15.789473684210526,25.545454545454547
2022-11-12,Schalke 04,Bayern Munich,0.892,1.652,0,2,0.891772,1.65233,20.68421052631579,11.285714285714286
2022-11-13,Mainz 05,Eintracht Frankfurt,1.786,1.398,1,1,1.78634,1.39797,18.38888888888889,10.538461538461538
2022-11-13,Freiburg,Union Berlin,2.69,1.656,4,1,1.17459,0.139973,9.75,42.81818181818182
2023-01-20,RasenBallsport Leipzig,Bayern Munich,1.031,0.814,1,1,1.03072,0.813529,8.651162790697674,9.37037037037037
2023-01-21,Union Berlin,Hoffenheim,2.481,0.967,3,1,1.72278,0.966541,11.454545454545455,18.071428571428573
2023-01-21,Eintracht Frankfurt,Schalke 04,1.681,2.378,3,0,1.68109,2.37825,11.92,6.392857142857143
2023-01-21,Wolfsburg,Freiburg,2.881,0.809,6,0,2.12306,0.808738,12.181818181818182,22.066666666666666
2023-01-21,Bochum,Hertha Berlin,1.674,0.732,3,1,1.67446,0.732458,6.12,8.35
2023-01-21,VfB Stuttgart,Mainz 05,1.88,1.38,1,1,1.8803,0.622546,8.35483870967742,14.791666666666666
2023-01-21,FC Cologne,Werder Bremen,3.19,0.253,7,1,3.1904,0.252782,14.434782608695652,8.59375
2023-01-22,Borussia Dortmund,Augsburg,3.27,1.929,4,3,3.27016,1.92914,8.4,16.428571428571427
2023-01-22,Borussia M.Gladbach,Bayer Leverkusen,0.994,1.685,2,3,0.993895,1.68471,9.258064516129032,24.833333333333332
2023-01-24,Schalke 04,RasenBallsport Leipzig,0.504,4.234,1,6,0.503614,4.23438,13.75,10.0
2023-01-24,Bayern Munich,FC Cologne,1.489,0.783,1,1,1.4893,0.782641,4.761904761904762,16.20689655172414
2023-01-24,Hoffenheim,VfB Stuttgart,1.821,0.658,2,2,1.82139,0.658333,8.548387096774194,28.0
2023-01-24,Hertha Berlin,Wolfsburg,0.573,2.949,0,5,0.572863,2.19105,10.857142857142858,7.125
2023-01-25,Mainz 05,Borussia Dortmund,0.85,1.159,1,2,0.84968,1.15874,12.3,11.052631578947368
2023-01-25,Bayer Leverkusen,Bochum,1.891,0.822,2,0,1.13283,0.821758,11.384615384615385,8.466666666666667
