date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2022-03-14,Crystal Palace,Manchester City,0.474,2.04,0,0
2022-03-16,Brighton,Tottenham,1.042,2.052,0,2
2022-03-16,Arsenal,Liverpool,0.534,1.277,0,2
2022-03-17,Everton,Newcastle United,0.709,0.758,1,0
2022-03-18,Wolverhampton Wanderers,Leeds,1.241,2.821,2,3
2022-03-19,Aston Villa,Arsenal,0.309,1.145,0,1
2022-03-20,Leicester,Brentford,1.279,1.725,2,1
2022-03-20,Tottenham,West Ham,2.548,0.645,3,1
2022-04-02,Liverpool,Watford,2.237,0.753,2,0
2022-04-02,Wolverhampton Wanderers,Aston Villa,1.622,1.913,2,1
2022-04-02,Leeds,Southampton,1.507,2.064,1,1
2022-04-02,Chelsea,Brentford,1.29,2.434,1,4
2022-04-02,Burnley,Manchester City,0.059,1.62,0,2
2022-04-02,Brighton,Norwich,2.383,0.494,0,0
2022-04-02,Manchester United,Leicester,0.902,1.076,1,1
2022-04-03,West Ham,Everton,1.497,0.658,2,1
2022-04-03,Tottenham,Newcastle United,3.608,0.538,5,1
2022-04-04,Crystal Palace,Arsenal,1.397,1.052,3,0
2022-04-06,Burnley,Everton,2.244,2.316,3,2
2022-04-08,Newcastle United,Wolverhampton Wanderers,1.439,0.307,1,0
2022-04-09,Everton,Manchester United,0.357,0.762,1,0
2022-04-09,Watford,Leeds,1.074,0.896,0,3
2022-04-09,Southampton,Chelsea,0.565,4.397,0,6
2022-04-09,Arsenal,Brighton,2.352,0.596,1,2
2022-04-09,Aston Villa,Tottenham,1.487,0.984,0,4
2022-04-10,Norwich,Burnley,1.672,1.447,2,0
2022-04-10,Leicester,Crystal Palace,0.879,1.528,2,1
2022-04-10,Brentford,West Ham,1.855,0.245,2,0
2022-04-10,Manchester City,Liverpool,1.346,1.3,2,2
2022-04-16,Tottenham,Brighton,0.586,0.711,0,1
2022-04-16,Watford,Brentford,1.504,2.125,1,2
2022-04-16,Southampton,Arsenal,1.04,1.35,1,0
2022-04-16,Manchester United,Norwich,1.667,1.798,3,2
2022-04-17,West Ham,Burnley,2.792,1.881,1,1
2022-04-17,Newcastle United,Leicester,2.543,0.541,2,1
2022-04-19,Liverpool,Manchester United,2.26,0.11,4,0
2022-04-20,Everton,Leicester,1.688,0.786,1,1
2022-04-20,Chelsea,Arsenal,0.594,1.873,2,4
2022-04-20,Newcastle United,Crystal Palace,0.768,0.433,1,0
2022-04-20,Manchester City,Brighton,1.528,0.117,3,0
2022-04-21,Burnley,Southampton,2.147,1.318,2,0
2022-04-23,Arsenal,Manchester United,2.542,2.042,3,1
2022-04-23,Norwich,Newcastle United,0.658,1.876,0,3
2022-04-23,Manchester City,Watford,3.68,0.426,5,1
2022-04-23,Leicester,Aston Villa,0.236,0.593,0,0
2022-04-23,Brentford,Tottenham,1.315,0.518,0,0
