date,home_team,away_team,home_xg,away_xg,home_goals,away_goals,home_npxg,away_npxg,home_ppda,away_ppda
2021-10-27,Nice,Marseille,1.505,0.341,1,1,1.50504,0.341475,12.862068965517242,12.454545454545455
2021-10-29,Paris Saint Germain,Lille,2.31,1.833,2,1,2.30974,1.83335,12.882352941176471,14.916666666666666
2021-10-30,Metz,Saint-Etienne,0.383,0.282,1,1,0.382626,0.281781,10.96551724137931,14.545454545454545
2021-10-30,Lyon,Lens,2.029,2.13,2,1,1.26926,2.12966,9.37037037037037,13.4
2021-10-31,Angers,Nice,1.212,0.897,1,2,0.451853,0.897424,23.11111111111111,10.384615384615385
2021-10-31,Bordeaux,Reims,1.948,1.814,3,2,1.18836,1.81401,11.6,10.153846153846153
2021-10-31,Montpellier,Nantes,1.472,0.857,2,0,1.47174,0.856557,6.0,5.9375
2021-10-31,Strasbourg,Lorient,3.094,0.666,4,0,3.09428,0.666205,9.551724137931034,19.76923076923077
2021-10-31,Troyes,Rennes,1.8,1.513,2,2,1.80006,1.51345,16.375,6.333333333333333
2021-10-31,Brest,Monaco,1.771,0.507,2,0,1.77116,0.507286,24.823529411764707,3.7419354838709675
2021-10-31,Clermont Foot,Marseille,0.744,1.246,0,1,0.743883,1.24579,16.041666666666668,16.0
2021-11-05,Lens,Troyes,3.168,0.537,4,0,3.16809,0.537488,7.735294117647059,26.2
2021-11-06,Lille,Angers,1.745,1.151,1,1,1.74491,1.15058,15.818181818181818,12.333333333333334
2021-11-06,Bordeaux,Paris Saint Germain,1.576,1.24,2,3,1.57566,1.23993,12.266666666666667,19.384615384615383
2021-11-07,Marseille,Metz,1.669,1.361,0,0,1.66928,1.36054,6.0,35.09090909090909
2021-11-07,Lorient,Brest,1.17,2.35,1,2,1.16964,1.58983,43.5,9.523809523809524
2021-11-07,Nantes,Strasbourg,2.263,1.925,2,2,2.26281,1.92452,11.444444444444445,7.269230769230769
2021-11-07,Reims,Monaco,0.337,0.974,0,0,0.33707,0.973878,14.333333333333334,6.655172413793103
2021-11-07,Saint-Etienne,Clermont Foot,2.056,1.303,3,2,2.0562,1.30338,13.80952380952381,9.884615384615385
2021-11-07,Nice,Montpellier,1.636,0.642,0,1,1.63624,0.641977,9.263157894736842,30.53846153846154
2021-11-07,Rennes,Lyon,3.98,0.953,4,1,3.97971,0.193042,11.037037037037036,12.588235294117647
2021-11-19,Monaco,Lille,0.938,2.165,2,2,0.938265,1.40477,6.709677419354839,11.095238095238095
2021-11-20,Paris Saint Germain,Nantes,1.267,0.999,3,1,1.26725,0.998765,12.705882352941176,21.956521739130434
2021-11-20,Rennes,Montpellier,3.997,0.299,2,0,3.99657,0.298729,7.208333333333333,39.111111111111114
2021-11-21,Brest,Lens,1.445,1.714,4,0,1.44486,1.7144,24.466666666666665,9.523809523809524
2021-11-21,Angers,Lorient,1.462,0.421,1,0,0.701963,0.420713,14.428571428571429,11.030303030303031
2021-11-21,Strasbourg,Reims,2.025,1.259,1,1,1.26508,1.25894,4.448275862068965,12.0
