date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2023-02-01,Toulouse,Troyes,2.949,1.254,4,1
2023-02-01,Monaco,Auxerre,1.977,1.131,3,2
2023-02-01,Montpellier,Paris Saint Germain,0.27,4.001,1,3
2023-02-01,Lyon,Brest,2.299,0.509,0,0
2023-02-01,Lens,Nice,0.397,2.165,0,1
2023-02-01,Rennes,Strasbourg,1.256,0.141,3,0
2023-02-04,Paris Saint Germain,Toulouse,1.804,0.729,2,1
2023-02-04,Troyes,Lyon,0.7,1.307,1,3
2023-02-04,Rennes,Lille,2.187,2.352,1,3
2023-02-05,Clermont Foot,Monaco,0.277,1.466,0,2
2023-02-05,Ajaccio,Nantes,0.223,1.569,0,2
2023-02-05,Auxerre,Reims,0.61,0.406,0,0
2023-02-05,Lorient,Angers,0.688,0.585,0,0
2023-02-05,Strasbourg,Montpellier,1.516,0.614,2,0
2023-02-05,Brest,Lens,2.17,2.265,1,1
2023-02-05,Marseille,Nice,2.611,1.481,1,3
2023-02-10,Nice,Ajaccio,0.569,0.265,3,0
2023-02-11,Monaco,Paris Saint Germain,3.804,0.933,3,1
2023-02-11,Clermont Foot,Marseille,1.09,2.109,0,2
2023-02-12,Toulouse,Rennes,2.713,1.196,3,1
2023-02-12,Angers,Auxerre,0.446,2.487,1,1
2023-02-12,Lille,Strasbourg,3.654,0.174,2,0
2023-02-12,Montpellier,Brest,3.949,0.469,3,0
2023-02-12,Reims,Troyes,2.107,0.57,4,0
2023-02-12,Nantes,Lorient,1.642,1.63,1,0
2023-02-12,Lyon,Lens,1.529,1.308,2,1
2023-02-17,Auxerre,Lyon,1.348,0.719,2,1
2023-02-18,Nice,Reims,1.533,1.287,0,0
2023-02-18,Strasbourg,Angers,1.95,1.05,2,1
2023-02-19,Paris Saint Germain,Lille,2.096,3.208,4,3
2023-02-19,Lorient,Ajaccio,2.436,0.593,3,0
2023-02-19,Brest,Monaco,0.768,1.611,1,2
2023-02-19,Rennes,Clermont Foot,1.673,0.866,2,0
2023-02-19,Troyes,Montpellier,0.086,1.085,0,1
2023-02-19,Lens,Nantes,3.13,0.236,3,1
2023-02-19,Toulouse,Marseille,2.098,1.218,2,3
2023-02-24,Lille,Brest,0.772,0.202,2,1
2023-02-25,Angers,Lyon,1.135,1.818,1,3
2023-02-25,Montpellier,Lens,0.645,1.535,1,1
2023-02-26,Lorient,Auxerre,1.05,1.209,0,1
2023-02-26,Ajaccio,Troyes,3.945,1.404,2,1
2023-02-26,Clermont Foot,Strasbourg,1.748,0.92,1,1
2023-02-26,Nantes,Rennes,2.425,0.986,0,1
2023-02-26,Reims,Toulouse,2.174,0.523,3,0
2023-02-26,Monaco,Nice,0.689,1.796,0,3
2023-02-26,Marseille,Paris Saint Germain,2.29,3.734,0,3
2023-03-03,Nice,Auxerre,1.739,0.443,1,1
2023-03-04,Lens,Lille,0.617,1.901,1,1
2023-03-04,Paris Saint Germain,Nantes,1.109,0.239,4,2
2023-03-05,Troyes,Monaco,0.879,2.816,2,2
2023-03-05,Montpellier,Angers,3.415,0.956,5,0
2023-03-05,Strasbourg,Brest,0.984,0.585,0,1
2023-03-05,Reims,Ajaccio,0.41,0.37,1,0
2023-03-05,Toulouse,Clermont Foot,1.025,0.648,0,1
2023-03-05,Lyon,Lorient,2.541,0.888,0,0
2023-03-05,Rennes,Marseille,1.035,1.453,0,1
2023-03-10,Lille,Lyon,2.353,1.058,3,3
2023-03-11,Auxerre,Rennes,0.961,0.691,0,0
2023-03-11,Brest,Paris Saint Germain,0.751,2.661,1,2
2023-03-12,Clermont Foot,Lens,1.861,2.005,0,4
2023-03-12,Ajaccio,Montpellier,0.192,1.274,0,1
2023-03-12,Angers,Toulouse,1.021,1.569,0,2
2023-03-12,Lorient,Troyes,1.791,0.492,2,0
2023-03-12,Nantes,Nice,1.751,1.518,2,2
2023-03-12,Monaco,Reims,0.98,1.819,0,1
2023-03-12,Marseille,Strasbourg,1.68,2.222,2,2
2023-03-17,Lyon,Nantes,1.622,1.063,1,1
2023-03-18,Toulouse,Lille,2.052,1.965,0,2
2023-03-18,Lens,Angers,1.649,0.589,3,0
2023-03-19,Ajaccio,Monaco,0.41,1.456,0,2
2023-03-19,Montpellier,Clermont Foot,3.02,1.406,2,1
2023-03-19,Nice,Lorient,1.217,0.883,1,1
2023-03-19,Strasbourg,Auxerre,2.883,0.945,2,0
2023-03-19,Troyes,Brest,1.002,1.16,2,2
2023-03-19,Paris Saint Germain,Rennes,1.71,1.9,0,2
2023-03-19,Reims,Marseille,1.918,1.392,1,2
2023-03-31,Marseille,Montpellier,1.434,0.85,1,1
2023-04-01,Auxerre,Troyes,1.166,1.172,1,0
2023-04-01,Rennes,Lens,1.21,1.449,0,1
2023-04-02,Lille,Lorient,1.962,0.096,3,1
2023-04-02,Angers,Nice,0.96,1.2,1,1
2023-04-02,Clermont Foot,Ajaccio,2.136,0.412,2,1
2023-04-02,Nantes,Reims,1.374,2.005,0,3
2023-04-02,Brest,Toulouse,1.472,1.779,3,1
2023-04-02,Monaco,Strasbourg,1.401,1.556,4,3
2023-04-02,Paris Saint Germain,Lyon,1.224,2.149,0,1
2023-04-07,Lens,Strasbourg,1.317,0.58,2,1
2023-04-08,Angers,Lille,1.039,1.07,1,0
2023-04-08,Nice,Paris Saint Germain,1.223,1.249,0,2
2023-04-09,Lyon,Rennes,1.238,1.064,3,1
2023-04-09,Ajaccio,Auxerre,0.983,0.925,0,3
2023-04-09,Montpellier,Toulouse,1.793,2.206,1,2
2023-04-09,Reims,Brest,3.265,1.111,1,1
2023-04-09,Troyes,Clermont Foot,0.488,1.861,0,2
2023-04-09,Nantes,Monaco,0.974,1.669,2,2
2023-04-09,Lorient,Marseille,0.637,0.783,0,0
2023-04-14,Toulouse,Lyon,1.517,2.988,1,2
2023-04-15,Rennes,Reims,3.218,0.344,3,0
2023-04-15,Paris Saint Germain,Lens,1.394,1.435,3,1
2023-04-16,Lille,Montpellier,2.317,0.515,2,1
2023-04-16,Auxerre,Nantes,2.651,1.283,2,1
2023-04-16,Clermont Foot,Angers,2.018,0.328,2,1
2023-04-16,Strasbourg,Ajaccio,1.592,0.479,3,1
2023-04-16,Brest,Nice,0.956,0.656,1,0
2023-04-16,Monaco,Lorient,2.672,1.034,3,1
2023-04-16,Marseille,Troyes,3.751,0.406,3,1
2023-04-21,Angers,Paris Saint Germain,1.284,1.751,1,2
2023-04-22,Auxerre,Lille,1.078,3.089,1,1
2023-04-22,Lens,Monaco,3.527,1.534,3,0
2023-04-23,Reims,Strasbourg,1.132,1.333,0,2
2023-04-23,Ajaccio,Brest,0.194,0.451,0,0
2023-04-23,Lorient,Toulouse,0.507,1.255,0,1
2023-04-23,Nantes,Troyes,1.984,1.724,2,2
2023-04-23,Nice,Clermont Foot,1.523,0.917,1,2
2023-04-23,Montpellier,Rennes,0.748,1.328,1,0
2023-04-23,Lyon,Marseille,1.457,2.215,1,2
2023-04-29,Lille,Ajaccio,1.559,0.36,3,0
2023-04-30,Monaco,Montpellier,1.352,2.111,0,4
2023-04-30,Clermont Foot,Reims,1.128,0.483,1,0
2023-04-30,Rennes,Angers,2.511,1.27,4,2
2023-04-30,Troyes,Nice,0.625,3.653,0,1
2023-04-30,Paris Saint Germain,Lorient,1.763,3.267,1,3
2023-04-30,Marseille,Auxerre,3.569,0.456,2,1
2023-04-30,Strasbourg,Lyon,1.687,0.89,1,2
2023-05-02,Toulouse,Lens,0.397,1.36,0,1
2023-05-03,Brest,Nantes,0.794,0.726,2,0
2023-05-06,Nice,Rennes,1.334,1.062,2,1
2023-05-06,Reims,Lille,2.075,1.428,1,0
2023-05-06,Lens,Marseille,1.336,1.275,2,1
2023-05-07,Angers,Monaco,1.417,1.585,1,2
2023-05-07,Ajaccio,Toulouse,0.211,2.527,0,0
2023-05-07,Auxerre,Clermont Foot,1.577,1.821,1,1
2023-05-07,Lorient,Brest,1.231,1.422,2,1
2023-05-07,Nantes,Strasbourg,0.816,1.948,0,2
2023-05-07,Lyon,Montpellier,3.696,2.308,5,4
2023-05-07,Troyes,Paris Saint Germain,0.615,4.305,1,3
2023-05-12,Lens,Reims,1.355,1.808,2,1
2023-05-13,Strasbourg,Nice,1.671,0.361,2,0
2023-05-13,Paris Saint Germain,Ajaccio,2.316,0.314,5,0
2023-05-14,Clermont Foot,Lyon,1.738,1.905,2,1
2023-05-14,Montpellier,Lorient,1.204,0.582,1,1
2023-05-14,Brest,Auxerre,1.633,0.731,1,0
2023-05-14,Rennes,Troyes,3.758,0.263,4,0
2023-05-14,Toulouse,Nantes,1.246,0.622,0,0
2023-05-14,Monaco,Lille,0.69,1.293,0,0
2023-05-14,Marseille,Angers,2.992,0.559,3,1
2023-05-19,Lyon,Monaco,2.409,1.466,3,1
2023-05-20,Nantes,Montpellier,0.751,1.704,0,3
2023-05-20,Lille,Marseille,1.86,1.199,2,1
2023-05-21,Ajaccio,Rennes,0.063,2.094,0,5
2023-05-21,Nice,Toulouse,2.781,0.965,0,0
2023-05-21,Brest,Clermont Foot,1.143,0.363,2,1
2023-05-21,Reims,Angers,1.743,0.701,2,2
2023-05-21,Troyes,Strasbourg,0.707,2.3,1,1
2023-05-21,Lorient,Lens,1.374,2.309,1,3
2023-05-21,Auxerre,Paris Saint Germain,0.696,1.847,1,2
2023-05-27,Angers,Troyes,0.776,0.235,2,1
2023-05-27,Clermont Foot,Lorient,1.347,0.999,2,0
2023-05-27,Lille,Nantes,2.164,1.089,2,1
2023-05-27,Montpellier,Nice,1.616,4.595,2,3
2023-05-27,Lyon,Reims,3.22,0.506,3,0
2023-05-27,Marseille,Brest,0.969,1.531,1,2
2023-05-27,Lens,Ajaccio,2.297,0.188,3,0
2023-05-27,Strasbourg,Paris Saint Germain,1.336,1.161,1,1
2023-05-27,Rennes,Monaco,0.76,0.377,2,0
2023-05-27,Toulouse,Auxerre,1.217,0.653,1,1
2023-06-03,Ajaccio,Marseille,0.129,1.224,1,0
2023-06-03,Auxerre,Lens,2.034,3.2,1,3
2023-06-03,Monaco,Toulouse,2.153,2.667,1,2
2023-06-03,Nantes,Angers,1.061,0.19,1,0
2023-06-03,Lorient,Strasbourg,0.49,0.852,2,1
2023-06-03,Nice,Lyon,2.305,1.683,3,1
2023-06-03,Paris Saint Germain,Clermont Foot,2.235,2.979,2,3
2023-06-03,Brest,Rennes,1.226,1.575,1,2
2023-06-03,Reims,Montpellier,1.841,2.219,1,3
2023-06-03,Troyes,Lille,0.242,1.696,1,1
